Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
1swp,,2,,1999,,Kd~10pM,,Kd~10pM,,,,,//,1swp.pdf,(BTN)
1swk,,2,,1999,,Kd~1pM,,Kd~1pM,,,,,,//,1swk.pdf
1swn,,2.2,,1999,,Kd~1pM,,Kd~1pM,,,,,,//,1swn.pdf
1d4y,,1.97,,1999,,Ki=0.008nM,,Ki=0.008nM,,//,1d4y.pdf,(TPV),,,
3erd,,2.03,,1999,,Ki=0.126nM,,Ki=0.126nM,,//,3erd.pdf,(DES),ligand,is,"diethylstilbestrol,"
2std,,2.1,,1999,,Ki=0.14nM,,Ki=0.14nM,,,//,2std.pdf,(CRP),,
456c,,2.4,,1999,,Ki=0.17nM,,Ki=0.17nM,,,//,456c.pdf,(CBP),,
1bzh,,2.1,,1999,,Ki=0.17uM,,Ki=0.17uM,,,//,1bzh.pdf,(7-mer),,
1sfi,,1.65,,1999,,Ki=0.1nM,,Ki=0.1nM,,,,//,1sfi.pdf,(14-mer),
1ch8,,2.5,,1999,,Ki=0.1uM,,Ki=0.1uM,,,,//,1ch8.pdf,(GPX),
1oth,,1.85,,1999,,Ki=0.1uM,,Ki=0.1uM,,,,//,1oth.pdf,(PAO),Ki
3ert,,1.9,,1999,,Ki=0.249nM,,Ki=0.249nM,,//,3ert.pdf,(OHT),ligand,is,"4-OH-Tamoxifen,"
1bo5,,3.2,,1999,,Ki=0.25mM,,Ki=0.25mM,,,//,1bo5.pdf,(FBP),,
1dfo,,2.4,,1999,,Ki=0.2uM,,Ki=0.2uM,,,,//,1dfo.pdf,(FFO),Ki=0.2~0.5uM
1ca8,,2.1,,1999,,Ki=0.32nM,,Ki=0.32nM,,,//,1ca8.pdf,(0KV),covalent,complex
4yas,,2,,1999,,Ki=0.39mM,,Ki=0.39mM,,,//,4yas.pdf,(CLX),covalent,complex
1bxr,,2.1,,1999,,Ki=0.4mM,,Ki=0.4mM,,,,//,1bxr.pdf,(ANP),
1pme,,2,,1999,,Ki=0.4nM,,Ki=0.4nM,,,,//,1pme.pdf,(SB2),
2bpx,,2.8,,1999,,Ki=0.4nM,,Ki=0.4nM,,,,//,2bpx.pdf,(MK1),
830c,,1.6,,1999,,Ki=0.52nM,,Ki=0.52nM,,,//,830c.pdf,(RS1),,
5yas,,2.2,,1999,,Ki=0.55mM,,Ki=0.55mM,,,//,5yas.pdf,(FAC),,
1a5h,,2.9,,1999,,Ki=0.5uM,,Ki=0.5uM,,,,//,1a5h.pdf,(BBA),Ki
1ba8,,1.8,,1999,,Ki=1.0nM,,Ki=1.0nM,,,,//,1ba8.pdf,(0IT),covalent
1ekb,,2.3,,1999,,Ki=1.0uM,,Ki=1.0uM,,,,//,1ekb.pdf,(7-mer),incomplete
1cet,,2.05,,1999,,Ki=1.3mM,,Ki=1.3mM,,,,//,1cet.pdf,(CLQ),
2bza,,1.9,,1999,,Ki=1.58mM,,Ki=1.58mM,,,//,2bza.pdf,(ABN),,
11gs,,2.3,,1999,,Ki=1.5uM,,Ki=1.5uM,,,,//,11gs.pdf,(2-mer),redundant
1dg9,,1.9,,1999,,Ki=1.8mM,,Ki=1.8mM,,,,//,1dg9.pdf,(EPE),
3amv,,2.1,,1999,,Ki=10.8nM,,Ki=10.8nM,,,//,3amv.pdf,(BIN),,
1qin,,2,,1999,,Ki=10nM,,Ki=10nM,,,,,//,1qin.pdf,(GIP)
1cp6,,1.9,,1999,,Ki=10uM,,Ki=10uM,,,,,//,1cp6.pdf,(BUB)
1qf2,,2.06,,1999,,Ki=1200nM,,Ki=1200nM,,,//,1qf2.pdf,(TI3),,
1bzc,,2.35,,1999,,Ki=12uM,,Ki=12uM,,,,,//,1bzc.pdf,(TPI)
1xka,,2.3,,1999,,Ki=131nM,,Ki=131nM,,,,//,1xka.pdf,(4PP),IC50=272nM
1bm6,,,NMR,,1999,,Ki=13nM,Ki=13nM,,,,,,//,1bm6.pdf
1a94,,2,,1999,,Ki=14nM,,Ki=14nM,,,,,//,1a94.pdf,(0Q4)
1b8y,,2,,1999,,Ki=14nM,,Ki=14nM,,,,,//,1b8y.pdf,(IN7)
1d5r,,2.1,,1999,,Ki=15mM,,Ki=15mM,,,,,//,1d5r.pdf,(TLA)
1ce5,,1.9,,1999,,Ki=18.4uM,,Ki=18.4uM,,,//,1ce5.pdf,(BEN),redundant,to
1caq,,1.8,,1999,,Ki=19nM,,Ki=19nM,,,,,//,1caq.pdf,(DPS)
7std,,1.8,,1999,,Ki=19pM,,Ki=19pM,,,,,//,7std.pdf,(CRP)
6std,,1.8,,1999,,Ki=2.3nM,,Ki=2.3nM,,,,//,6std.pdf,(MS2),
1mfi,,1.8,,1999,,Ki=2.6uM,,Ki=2.6uM,,,,//,1mfi.pdf,(FHC),
2sfp,,1.9,,1999,,Ki=20mM,,Ki=20mM,,,,,//,2sfp.pdf,(PPI)
1bai,,2.4,,1999,,Ki=20nM,,Ki=20nM,,,,,//,1bai.pdf,(0Q4)
2bpv,,1.9,,1999,,Ki=21.2nM,,Ki=21.2nM,,,//,2bpv.pdf,(1IN),,
1c3x,,2.4,,1999,,Ki=210uM,,Ki=210uM,,,,//,1c3x.pdf,(8IG),
1bzj,,2.25,,1999,,Ki=22uM,,Ki=22uM,,,,,//,1bzj.pdf,(PIC)
966c,,1.9,,1999,,Ki=23nM,,Ki=23nM,,,,,//,966c.pdf,(RS2)
1b8o,,1.5,,1999,,Ki=23pM,,Ki=23pM,,,,,//,1b8o.pdf,(IMH)
13gs,,1.9,,1999,,Ki=24uM,,Ki=24uM,,,,,//,13gs.pdf,(SAS)
1upf,,2.3,,1999,,Ki=25uM,,Ki=25uM,,,,,//,1upf.pdf,(URF)
1c3e,,2.1,,1999,,Ki=260nM,,Ki=260nM,,,,//,1c3e.pdf,(NHR),
1a0q,,2.3,,1999,,Ki=27nM,,Ki=27nM,,,,,//,1a0q.pdf,(HEP)
1c3b,,2.25,,1999,,Ki=27nM,,Ki=27nM,,,,,//,1c3b.pdf,(BZB)
1qhc,,1.7,,1999,,Ki=27nM,,Ki=27nM,,,,,//,1qhc.pdf,(PUA)
2tsr,,2.6,,1999,,Ki=29nM,,Ki=29nM,,,,,//,2tsr.pdf,(D16)
2fmb,,1.8,,1999,,Ki=2nM,,Ki=2nM,,,,,,//,2fmb.pdf
1cr6,,2.8,,1999,,Ki=3.1nM,,Ki=3.1nM,,,,//,1cr6.pdf,(CPU),
1bgo,,2.3,,1999,,Ki=3.5nM,,Ki=3.5nM,,,,//,1bgo.pdf,(I10),covalent
4fiv,,1.8,,1999,,Ki=300nM,,Ki=300nM,,,,//,4fiv.pdf,(LP1),
1qcp,,1.8,,1999,,Ki=30nM,,Ki=30nM,,,,,//,1qcp.pdf,(RWJ)
1b8n,,2,,1999,,Ki=30pM,,Ki=30pM,,,,,//,1b8n.pdf,(IMG)
1d6n,,2.7,,1999,,Ki=31.5uM,,Ki=31.5uM,,,//,1d6n.pdf,(PPO),Ki,measured
5std,,1.95,,1999,,Ki=32pM,,Ki=32pM,,,,,//,5std.pdf,(UNN)
1ciz,,1.64,,1999,,Ki=36nM,,Ki=36nM,,,,,//,1ciz.pdf,(DPS)
2bpy,,1.9,,1999,,Ki=39.8nM,,Ki=39.8nM,,,//,2bpy.pdf,(3IN),,
1bb0,,2.1,,1999,,Ki=4.4nM,,Ki=4.4nM,,,,//,1bb0.pdf,(0IV),covalent
1hwr,,1.8,,1999,,Ki=4.70nM,,Ki=4.70nM,,,//,1hwr.pdf,-216,,
7kme,,2.1,,1999,,Ki=40uM,,Ki=40uM,,,,,//,7kme.pdf,(7-mer)
1qbv,,1.8,,1999,,Ki=4100nM,,Ki=4100nM,,,//,1qbv.pdf,(PPX),,
1qjb,,2,,1999,,Ki=416nM,,Ki=416nM,,,,//,1qjb.pdf,(8-mer),Ki
1qf0,,2.2,,1999,,Ki=42nM,,Ki=42nM,,,,,//,1qf0.pdf,(TI2)
2fgi,,2.5,,1999,,Ki=45.2nM,,Ki=45.2nM,,,//,2fgi.pdf,(PD1),,
4std,,2.15,,1999,,Ki=47pM,,Ki=47pM,,,,,//,4std.pdf,(BFS)
1qf1,,2,,1999,,Ki=48nM,,Ki=48nM,,,,,//,1qf1.pdf,(TI1)
1qbq,,2.4,,1999,,Ki=5nM,,Ki=5nM,,,,,,//,1qbq.pdf
1icj,,1.9,,1999,,Ki=6mM,,Ki=6mM,,,,,,//,1icj.pdf
3std,,1.65,,1999,,Ki=7.7pM,,Ki=7.7pM,,,,//,3std.pdf,(MQ0),
4prg,,2.9,,1999,,Ki=70nM,,Ki=70nM,,,,,//,4prg.pdf,-72
2toh,,2.3,,1999,,Ki=70uM,,Ki=70uM,,,,,//,2toh.pdf,(HBI)
3usn,,,NMR,,1999,,Ki=710nM,Ki=710nM,,,,,//,3usn.pdf,(ATT)
1zzz,,1.9,,1999,,Ki=7300nM,,Ki=7300nM,,,//,1zzz.pdf,(0IV),incomplete,ligand
1b56,,2.05,,1999,,Ki=802nM,,Ki=802nM,,,,//,1b56.pdf,(PLM),binding
1yyy,,2.1,,1999,,Ki=8100nM,,Ki=8100nM,,,//,1yyy.pdf,(0KV),incomplete,ligand
1ody,,2,,1999,,Ki=8nM,,Ki=8nM,,,,,,//,1ody.pdf
1qr3,,1.6,,2000,,IC50=0.26uM,,IC50=0.26uM,//,1qr3.pdf,(8-mer),,,,
1eei,,2,,2000,,IC50=0.7mM,,IC50=0.7mM,,//,1eei.pdf,(GAA),,,
1d5j,,2.6,,2000,,IC50=0.7nM,,IC50=0.7nM,,//,1d5j.pdf,(MM3),,,
1.00E+02,,2.15,,2000,,IC50=0.7uM,,IC50=0.7uM,,//,1e02.pdf,(UNA),,,
1.00E+00,,1.83,,2000,,IC50=0.8uM,,IC50=0.8uM,,//,1e00.pdf,(DHM),,,
1eef,,1.8,,2000,,IC50=1.2mM,,IC50=1.2mM,,//,1eef.pdf,(2-mer),ligand,is,GAL-I06
1dzj,,2,,2000,,IC50=1.3uM,,IC50=1.3uM,,//,1dzj.pdf,(SES),,,
1c3i,,1.83,,2000,,IC50=1.6uM,,IC50=1.6uM,,//,1c3i.pdf,(TR1),,,
1bzs,,1.7,,2000,,IC50=10nM,,IC50=10nM,,,//,1bzs.pdf,(BSI),,
1fv9,,3,,2000,,IC50=10uM,,IC50=10uM,,,//,1fv9.pdf,-172,,
1efi,,1.6,,2000,,IC50=12mM,,IC50=12mM,,,//,1efi.pdf,(GAT),,
1qhr,,2.2,,2000,,IC50=130nM,,IC50=130nM,,//,1qhr.pdf,-157,covalent,complex,
1ftk,,1.6,,2000,,IC50=14.5uM,,IC50=14.5uM,//,1ftk.pdf,(KAI),IC50,measured,on,S1S2J
1fd7,,1.8,,2000,,IC50=14mM,,IC50=14mM,,,//,1fd7.pdf,(AI1),,
1d8f,,2.4,,2000,,IC50=18nM,,IC50=18nM,,,//,1d8f.pdf,(SPI),,
1qj6,,2.2,,2000,,IC50=18nM,,IC50=18nM,,,//,1qj6.pdf,-167,covalent,complex
1c8k,,1.76,,2000,,IC50=1uM,,IC50=1uM,,,,//,1c8k.pdf,(CPB),
1di8,,2.2,,2000,,IC50=1uM,,IC50=1uM,,,,//,1di8.pdf,(DTQ),
1cqp,,2.6,,2000,,IC50=2.4uM,,IC50=2.4uM,,//,1cqp.pdf,-803,,,
1fyr,,2.4,,2000,,IC50=2.4uM,,IC50=2.4uM,,//,1fyr.pdf,(5-mer),,,
1.00E+06,,2.12,,2000,,IC50=2.5uM,,IC50=2.5uM,,//,1e06.pdf,(IPB),,,
1e1y,,2.23,,2000,,IC50=2.5uM,,IC50=2.5uM,,//,1e1y.pdf,(CPB),,,
1qpe,,2,,2000,,IC50=20nM,,IC50=20nM,,,//,1qpe.pdf,(PP2),,
1d8e,,3,,2000,,IC50=250nM,,IC50=250nM,,//,1d8e.pdf,(6-mer),FTase,complexed,with
1dmt,,2.1,,2000,,IC50=2nM,,IC50=2nM,,,,//,1dmt.pdf,(RDF),ligand
1d8m,,2.44,,2000,,IC50=3.1nM,,IC50=3.1nM,,//,1d8m.pdf,(BBH),,,
1qkn,,2.25,,2000,,IC50=3.4nM,,IC50=3.4nM,,//,1qkn.pdf,(RAL),ligand,is,compound
1dzp,,1.83,,2000,,IC50=3.6uM,,IC50=3.6uM,,//,1dzp.pdf,(BZQ),,,
1dzm,,1.93,,2000,,IC50=3.9uM,,IC50=3.9uM,,//,1dzm.pdf,(BZM),,,
1d7x,,2,,2000,,IC50=3nM,,IC50=3nM,,,,//,1d7x.pdf,(SPC),
3gwx,,2.4,,2000,,IC50=4.0uM,,IC50=4.0uM,,//,3gwx.pdf,(EPA),,,
1exv,,2.4,,2000,,IC50=45nM,,IC50=45nM,,,//,1exv.pdf,-700,,
1c29,,2.3,,2000,,IC50=472nM,,IC50=472nM,,//,1c29.pdf,(HE1),redundant,to,1c8v
1c8v,,2.2,,2000,,IC50=472nM,,IC50=472nM,,//,1c8v.pdf,(HE1),,,
1qtn,,1.2,,2000,,IC50=50nM,,IC50=50nM,,,//,1qtn.pdf,(5-mer),covalent,complex
1ezf,,2.15,,2000,,IC50=56nM,,IC50=56nM,,,//,1ezf.pdf,(IN0),,
1dtt,,3,,2000,,IC50=5nM,,IC50=5nM,,,,//,1dtt.pdf,(FTC),
1di9,,2.6,,2000,,IC50=5uM,,IC50=5uM,,,,//,1di9.pdf,(MSQ),
1c8l,,2.3,,2000,,IC50=6.9nM,,IC50=6.9nM,,//,1c8l.pdf,(BIN),,,
1dx6,,2.3,,2000,,IC50=652nM,,IC50=652nM,,//,1dx6.pdf,(GNT),,,
1dtq,,2.8,,2000,,IC50=6nM,,IC50=6nM,,,,//,1dtq.pdf,(FPT),
1em6,,2.2,,2000,,IC50=6nM,,IC50=6nM,,,,//,1em6.pdf,(CP4),
1dm2,,2.1,,2000,,IC50=70nM,,IC50=70nM,,,//,1dm2.pdf,(HMD),,
1ftj,,1.9,,2000,,IC50=821nM,,IC50=821nM,,//,1ftj.pdf,(GLU),,,
1qj7,,2.2,,2000,,IC50=8nM,,IC50=8nM,,,,//,1qj7.pdf,(GR1),covalent
1fsg,,1.05,,2000,,IC50=9.5uM,,IC50=9.5uM,,//,1fsg.pdf,(9DG),,,
1ftl,,1.8,,2000,,IC50=998nM,,IC50=998nM,,//,1ftl.pdf,(DNQ),,,
1qj1,,2,,2000,,IC50=9nM,,IC50=9nM,,,,//,1qj1.pdf,-166,covalent
1fao,,1.8,,2000,,Kd=0.043uM,,Kd=0.043uM,,//,1fao.pdf,(4IP),,,
1fl3,,2.45,,2000,,Kd=0.16uM,,Kd=0.16uM,,,//,1fl3.pdf,(SPB),,
1d2s,,1.55,,2000,,Kd=0.182nM,,Kd=0.182nM,,//,1d2s.pdf,(DHT),ligand,is,compound
1df8,,1.51,,2000,,Kd=0.20nM,,Kd=0.20nM,,,//,1df8.pdf,(BTN),,
1qku,,3.2,,2000,,Kd=0.26nM,,Kd=0.26nM,,,//,1qku.pdf,(EST),WT,Kd=0.26+/-0.05nM
1g52,,1.8,,2000,,Kd=0.29nM,,Kd=0.29nM,,,//,1g52.pdf,(F2B),,
1d3q,,2.9,,2000,,Kd=0.29uM,,Kd=0.29uM,,,//,1d3q.pdf,(BT2),,
1c7f,,2,,2000,,Kd=0.30nM,,Kd=0.30nM,,,//,1c7f.pdf,(FMN,ox),
1dl7,,2.35,,2000,,Kd=0.32uM,,Kd=0.32uM,,,//,1dl7.pdf,(NCH),,
1g1d,,2.04,,2000,,Kd=0.36nM,,Kd=0.36nM,,,//,1g1d.pdf,(FSB),,
1flm,,1.3,,2000,,Kd=0.43nM,,Kd=0.43nM,,,//,1flm.pdf,(FMN),,
1.00E+03,,2.9,,2000,,Kd=0.4nM,,Kd=0.4nM,,,,//,1e03.pdf,(NTP),
1db1,,1.8,,2000,,Kd=0.55nM,,Kd=0.55nM,,,//,1db1.pdf,(VDX),,
1fcz,,1.38,,2000,,Kd=0.6nM,,Kd=0.6nM,,,,//,1fcz.pdf,-156,
1fbm,,2.7,,2000,,Kd=0.6uM,,Kd=0.6uM,,,,//,1fbm.pdf,(RTL),
1d3d,,2.04,,2000,,Kd=0.81nM,,Kd=0.81nM,,,//,1d3d.pdf,(BZT),,
1f4y,,2.8,,2000,,Kd=0.83uM,,Kd=0.83uM,,,//,1f4y.pdf,(MGU),,
1dzk,,1.48,,2000,,Kd=0.8uM,,Kd=0.8uM,,,,//,1dzk.pdf,(PRZ),
1g53,,1.94,,2000,,Kd=0.91nM,,Kd=0.91nM,,,//,1g53.pdf,(F6B),,
1qkt,,2.2,,2000,,Kd=0.92nM,,Kd=0.92nM,,,//,1qkt.pdf,(EST),,
1czc,,2.5,,2000,,Kd=1.5mM,,Kd=1.5mM,,,,//,1czc.pdf,(GUA),
1czk,,1.9,,2000,,Kd=1.5nM,,Kd=1.5nM,,,,//,1czk.pdf,(FMN,ox)
1g54,,1.86,,2000,,Kd=1.5nM,,Kd=1.5nM,,,,//,1g54.pdf,(FFB),
1g46,,1.84,,2000,,Kd=1.6nM,,Kd=1.6nM,,,,//,1g46.pdf,(F2B),
1duv,,1.7,,2000,,Kd=1.6pM,,Kd=1.6pM,,,,//,1duv.pdf,(PSQ),
1ggd,,1.5,,2000,,Kd=1.6uM,,Kd=1.6uM,,,,//,1ggd.pdf,(FAF),covalent
1qft,,1.25,,2000,,Kd=1.7nM,,Kd=1.7nM,,,,//,1qft.pdf,(HSM),
1ddm,,,NMR,,2000,,Kd=1.7uM,Kd=1.7uM,,,,,//,1ddm.pdf,(11-mer)
1fhr,,,NMR,,2000,,Kd=100uM,Kd=100uM,,,,,//,1fhr.pdf,(7-mer)
1f8a,,1.84,,2000,,Kd=10uM,,Kd=10uM,,,,,//,1f8a.pdf,(7-mer)
1ql7,,2.1,,2000,,Kd=10uM,,Kd=10uM,,,,,//,1ql7.pdf,(ZEN)
1c5c,,1.61,,2000,,Kd=110nM,,Kd=110nM,,,,//,1c5c.pdf,(TK4),
1elr,,1.9,,2000,,Kd=11uM,,Kd=11uM,,,,,//,1elr.pdf,(6-mer)
1ff1,,,NMR,,2000,,Kd=12uM,Kd=12uM,,,,,,//,1f8h.pdf
1qng,,2.1,,2000,,Kd=13nM,,Kd=13nM,,,,,//,1qng.pdf,(11-mer)
1qiw,,2.3,,2000,,Kd=18nM,,Kd=18nM,,,,,//,1qiw.pdf,(DPD)
1dpu,,,NMR,,2000,,Kd=1uM,Kd=1uM,,,,,,,//
1f40,,,NMR,,2000,,Kd=1uM,Kd=1uM,,,,,,,//
1g4j,,1.84,,2000,,Kd=2.0nM,,Kd=2.0nM,,,,//,1g4j.pdf,(FFB),
1dkd,,2.1,,2000,,Kd=2.0uM,,Kd=2.0uM,,,,//,1dkd.pdf,(12-mer),incomplete
1e8h,,2.6,,2000,,Kd=2.1uM,,Kd=2.1uM,,,,//,1e8h.pdf,(ADP),
1g45,,1.83,,2000,,Kd=2.3nM,,Kd=2.3nM,,,,//,1g45.pdf,(FSB),
1cze,,2.4,,2000,,Kd=2.4mM,,Kd=2.4mM,,,,//,1cze.pdf,(SIN),
1f4x,,2.3,,2000,,Kd=2.6uM,,Kd=2.6uM,,,,//,1f4x.pdf,(MGS),
1fo0,,2.5,,2000,,Kd=2.6uM,,Kd=2.6uM,,,,//,1fo0.pdf,(8-mer),
1om2,,,NMR,,2000,,Kd=20uM,Kd=20uM,,,,,,//,1om2.pdf
1e5a,,1.8,,2000,,Kd=23nM,,Kd=23nM,,,,,//,1e5a.pdf,(TBP)
1ftm,,1.7,,2000,,Kd=24.8nM,,Kd=24.8nM,,,//,1ftm.pdf,(AMQ),,
1fzq,,1.7,,2000,,Kd=24nM,,Kd=24nM,,,,,//,1fzq.pdf,(GDP)
1fj4,,2.35,,2000,,Kd=26uM,,Kd=26uM,,,,,//,1fj4.pdf,(TLM)
1g1e,,,NMR,,2000,,Kd=29nM,Kd=29nM,,,,,,//,1g1e.pdf
1e4h,,1.8,,2000,,Kd=3.9nM,,Kd=3.9nM,,,,//,1e4h.pdf,(PBR),
1g48,,1.86,,2000,,Kd=3.9nM,,Kd=3.9nM,,,,//,1g48.pdf,(F6B),
1fcy,,1.3,,2000,,Kd=3nM,,Kd=3nM,,,,,,//,1fcy.pdf
1bp0,,2.4,,2000,,Kd=4.0uM,,Kd=4.0uM,,,,//,1bp0.pdf,(UMP),
1d3p,,2.1,,2000,,Kd=41nM,,Kd=41nM,,,,,//,1d3p.pdf,(BT3)
1qpb,,2.4,,2000,,Kd=44mM,,Kd=44mM,,,,,//,1qpb.pdf,(PYM)
1g4o,,1.96,,2000,,Kd=5.6nM,,Kd=5.6nM,,,,//,1g4o.pdf,(BSB),
1c7e,,2.25,,2000,,Kd=505nM,,Kd=505nM,,,,//,1c7e.pdf,(FMN,hq)
1ej4,,2.25,,2000,,Kd=50nM,,Kd=50nM,,,,,//,1ej4.pdf,(17-mer)
1g6g,,1.6,,2000,,Kd=530nM,,Kd=530nM,,,,//,1g6g.pdf,(13-mer),incomplete
1g6r,,2.8,,2000,,Kd=54uM,,Kd=54uM,,,,,//,1g6r.pdf,(8-mer)
1etz,,2.6,,2000,,Kd=58nM,,Kd=58nM,,,,,//,1etz.pdf,(GAS)
1f3j,,3.1,,2000,,Kd=6.0uM,,Kd=6.0uM,,,,//,1f3j.pdf,(14-mer),HEL(11-25)
1fcx,,1.47,,2000,,Kd=64nM,,Kd=64nM,,,,,//,1fcx.pdf,-184
1d6v,,2,,2000,,Kd=670nM,,Kd=670nM,,,,//,1d6v.pdf,(HOP),
1fch,,2.2,,2000,,Kd=70nM,,Kd=70nM,,,,,//,1fch.pdf,(5-mer)
1d6s,,2.3,,2000,,Kd=78uM,,Kd=78uM,,,,,//,1d6s.pdf,(PLP)
1dva,,3,,2000,,Kd=8.5nM,,Kd=8.5nM,,,,//,1dva.pdf,(19-mer),incomplete
1qnh,,2.1,,2000,,Kd=872nM,,Kd=872nM,,,,//,1qnh.pdf,(11-mer),
1c1u,,1.75,,2000,,Ki=0.0056uM,,Ki=0.0056uM,//,1c1u.pdf,(BAI),,,,
1c4v,,2.1,,2000,,Ki=0.016nM,,Ki=0.016nM,,//,1c4v.pdf,(IH2),,,
1b57,,2,,2000,,Ki=0.01uM,,Ki=0.01uM,,,//,1b57.pdf,(PGH),ligand,is
1c1r,,1.37,,2000,,Ki=0.0235uM,,Ki=0.0235uM,//,1c1r.pdf,(BAI),,,,
1c1v,,1.98,,2000,,Ki=0.023uM,,Ki=0.023uM,,//,1c1v.pdf,(BAB),,,
1f7b,,1.8,,2000,,Ki=0.025mM,,Ki=0.025mM,,//,1f7b.pdf,(NAV),covalent,complex,
1c4u,,2.1,,2000,,Ki=0.043nM,,Ki=0.043nM,,//,1c4u.pdf,(IH1),,,
1c70,,2.5,,2000,,Ki=0.05nM,,Ki=0.05nM,,,//,1c70.pdf,(L75),,
1fjs,,1.92,,2000,,Ki=0.11nM,,Ki=0.11nM,,,//,1fjs.pdf,(Z34),,
1fh8,,1.95,,2000,,Ki=0.13uM,,Ki=0.13uM,,,//,1fh8.pdf,(2-mer),ligand,is
1fhd,,1.9,,2000,,Ki=0.15uM,,Ki=0.15uM,,,//,1fhd.pdf,(2-mer),ligand,is
1gfz,,2.3,,2000,,Ki=0.1mM,,Ki=0.1mM,,,,//,1gfz.pdf,(CFF),Ki=0.1-0.2mM
1.00E+37,,1.75,,2000,,Ki=0.20mM,,Ki=0.20mM,,,//,1e37.pdf,(TPY),covalent,complex
1c5x,,1.75,,2000,,Ki=0.21uM,,Ki=0.21uM,,,//,1c5x.pdf,(ESI),,
1d1p,,2.2,,2000,,Ki=0.25mM,,Ki=0.25mM,,,//,1d1p.pdf,(EPE),,
1f3e,,1.85,,2000,,Ki=0.2uM,,Ki=0.2uM,,,,//,1f3e.pdf,(DPZ),
1c6y,,2.5,,2000,,Ki=0.31nM,,Ki=0.31nM,,,//,1c6y.pdf,(MK1),X-ray(HIV-1,protease
1fh9,,1.72,,2000,,Ki=0.37uM,,Ki=0.37uM,,,//,1fh9.pdf,(2-mer),ligand,is
1c5q,,1.43,,2000,,Ki=0.44uM,,Ki=0.44uM,,,//,1c5q.pdf,(ESI),,
1e6s,,1.35,,2000,,Ki=0.6mM,,Ki=0.6mM,,,,//,1e6s.pdf,(GOX),
1d4k,,1.85,,2000,,Ki=0.6nM,,Ki=0.6nM,,,,//,1d4k.pdf,(PI8),
1d9i,,2.3,,2000,,Ki=0.78nM,,Ki=0.78nM,,,//,1d9i.pdf,(00P),,
1ec9,,2,,2000,,Ki=0.8mM,,Ki=0.8mM,,,,//,1ec9.pdf,(XYH),
1fq8,,2.8,,2000,,Ki=0.94uM,,Ki=0.94uM,,,//,1fq8.pdf,(2Y4),,
1f74,,1.6,,2000,,Ki=0.9mM,,Ki=0.9mM,,,,//,1f74.pdf,(NAY),
1ezq,,2.2,,2000,,Ki=0.9nM,,Ki=0.9nM,,,,//,1ezq.pdf,(RPR),
1eoc,,2.25,,2000,,Ki=0.9uM,,Ki=0.9uM,,,,//,1eoc.pdf,(4NC),
1qon,,2.72,,2000,,Ki=1.09nM,,Ki=1.09nM,,,//,1qon.pdf,(I40),Ki,measured
1ecq,,2,,2000,,Ki=1.0mM,,Ki=1.0mM,,,,//,1ecq.pdf,(DXG),
1c5s,,1.36,,2000,,Ki=1.0uM,,Ki=1.0uM,,,,//,1c5s.pdf,(ESX),
1f4e,,1.9,,2000,,Ki=1.1mM,,Ki=1.1mM,,,,//,1f4e.pdf,(TPR),
1doj,,1.7,,2000,,Ki=1.1nM,,Ki=1.1nM,,,,//,1doj.pdf,(1Z0),covalent
1.00E+34,,1.8,,2000,,Ki=1.32mM,,Ki=1.32mM,,,//,1e34.pdf,(TPX),covalent,complex
1qm5,,2,,2000,,Ki=1.5uM,,Ki=1.5uM,,,,//,1qm5.pdf,(5-mer),
1fkn,,1.9,,2000,,Ki=1.6nM,,Ki=1.6nM,,,,//,1fkn.pdf,(7-mer),
1d4l,,1.75,,2000,,Ki=1.7nM,,Ki=1.7nM,,,,//,1d4l.pdf,(PI9),
1b6k,,1.85,,2000,,Ki=1.8nM,,Ki=1.8nM,,,,//,1b6k.pdf,(PI5),
1f0t,,1.8,,2000,,Ki=1000nM,,Ki=1000nM,,,//,1f0t.pdf,(PR1),,
1dqn,,1.75,,2000,,Ki=10nM,,Ki=10nM,,,,,//,1dqn.pdf,(IMU)
1e2k,,1.7,,2000,,Ki=11.4uM,,Ki=11.4uM,,,//,1e2k.pdf,(TMC),,
1d6w,,2,,2000,,Ki=1100nM,,Ki=1100nM,,,//,1d6w.pdf,(00R),,
1exw,,2.4,,2000,,Ki=125uM,,Ki=125uM,,,,//,1exw.pdf,(HDS),covalent
1b6j,,1.85,,2000,,Ki=12nM,,Ki=12nM,,,,,//,1b6j.pdf,(5-mer)
1c4y,,2.7,,2000,,Ki=12nM,,Ki=12nM,,,,,//,1c4y.pdf,(IH3)
1fq6,,2.7,,2000,,Ki=13.7nM,,Ki=13.7nM,,,//,1fq6.pdf,(0QF),,
1erq,,1.9,,2000,,Ki=13nM,,Ki=13nM,,,,,//,1erq.pdf,(BJH)
1qbn,,1.8,,2000,,Ki=1400nM,,Ki=1400nM,,,//,1qbn.pdf,-688,,
1c83,,1.8,,2000,,Ki=14uM,,Ki=14uM,,,,,//,1c83.pdf,(OAI)
1ecv,,1.95,,2000,,Ki=14uM,,Ki=14uM,,,,,//,1ecv.pdf,-878
1qji,,2.14,,2000,,Ki=14uM,,Ki=14uM,,,,,//,1qji.pdf,(PKF)
1gfw,,2.8,,2000,,Ki=15nM,,Ki=15nM,,,,,//,1gfw.pdf,(MSI)
